iter	Passed	Remaining
173	442	2101
174	444	2094
175	445	2087
176	447	2080
177	449	2073
178	450	2066
179	452	2059
180	453	2050
181	454	2043
182	456	2036
183	457	2030
184	459	2023
185	460	2017
186	462	2011
187	464	2004
188	465	1998
189	467	1992
190	468	1986
191	470	1980
192	472	1973
193	473	1967
194	475	1962
195	476	1956
196	478	1949
197	479	1943
198	481	1939
199	483	1933
200	484	1927
201	486	1921
202	488	1915
203	489	1910
204	491	1904
205	492	1899
206	494	1893
207	496	1888
208	497	1883
209	499	1877
210	500	1872
211	502	1866
212	503	1861
213	505	1856
214	507	1851
215	508	1846
216	510	1841
217	511	1836
218	513	1831
219	515	1826
220	516	1820
221	518	1815
222	519	1810
223	521	1805
224	522	1800
225	524	1796
226	526	1791
227	527	1786
228	529	1781
229	530	1776
230	532	1772
231	533	1767
232	535	1762
233	537	1758
234	538	1753
235	540	1749
236	541	1744
237	543	1739
238	544	1735
239	546	1730
240	548	1726
241	549	1721
242	551	1717
243	553	1713
244	555	1710
245	556	1706
246	558	1702
247	559	1697
248	561	1693
249	563	1689
250	564	1684
251	566	1680
252	567	1675
253	569	1672
254	570	1667
255	572	1663
256	574	1659
257	575	1656
258	577	1652
259	578	1647
260	580	1643
261	582	1639
262	583	1635
263	585	1631
264	586	1627
265	588	1623
266	590	1620
267	591	1616
268	593	1612
269	594	1608
270	596	1604
271	598	1600
272	599	1596
273	601	1592
274	602	1589
275	604	1585
276	605	1581
277	607	1577
278	609	1574
279	610	1570
280	612	1567
281	613	1563
282	615	1559
283	617	1555
284	618	1552
285	620	1548
286	621	1545
287	623	1541
288	625	1537
289	626	1534
290	628	1530
291	629	1527
292	631	1523
293	633	1520
294	634	1516
295	636	1512
296	637	1509
297	639	1505
298	640	1502
299	642	1498
300	643	1495
301	645	1491
302	646	1488
303	648	1485
304	650	1481
305	651	1478
306	653	1474
307	654	1471
308	656	1467
309	657	1464
310	659	1460
311	661	1457
312	662	1454
313	664	1450
314	665	1447
315	667	1444
316	668	1440
317	670	1437
318	671	1433
319	673	1430
320	674	1427
321	676	1423
322	677	1420
323	679	1417
324	680	1413
325	682	1410
326	683	1407
327	685	1404
328	686	1400
329	688	1397
330	690	1394
331	691	1391
332	693	1388
333	694	1384
334	696	1381
335	697	1378
336	699	1375
337	700	1372
338	702	1369
339	703	1366
340	705	1363
341	706	1360
342	708	1357
343	709	1353
344	711	1350
345	712	1347
346	714	1344
347	715	1341
348	717	1338
349	718	1335
350	720	1332
351	721	1329
352	723	1325
353	725	1323
354	726	1320
355	727	1316
356	729	1313
357	730	1310
358	732	1307
359	733	1304
360	735	1301
361	736	1298
362	738	1296
363	740	1293
364	741	1290
365	743	1287
366	744	1284
367	746	1281
368	747	1278
369	749	1275
370	750	1273
371	752	1270
372	754	1267
373	755	1264
374	757	1261
375	758	1258
376	760	1256
377	761	1253
378	763	1250
379	764	1247
380	766	1245
381	767	1242
382	769	1239
383	770	1236
384	772	1234
385	774	1231
386	775	1228
387	777	1226
388	778	1223
389	780	1221
390	782	1218
391	783	1215
392	785	1213
393	787	1210
394	788	1207
395	790	1205
396	791	1202
397	793	1200
398	795	1198
399	798	1197
400	800	1195
401	801	1192
402	803	1190
403	804	1187
404	806	1184
405	808	1182
406	809	1179
407	811	1177
408	812	1174
409	814	1171
410	815	1169
411	817	1166
412	818	1163
413	820	1161
414	821	1158
415	823	1156
416	825	1153
417	826	1151
418	828	1148
419	829	1146
420	831	1143
421	832	1140
422	834	1138
423	836	1135
424	837	1133
425	839	1130
426	840	1128
427	842	1125
428	843	1123
429	845	1120
430	846	1117
431	848	1115
432	849	1112
433	851	1110
434	853	1107
435	854	1105
436	856	1102
437	857	1100
438	859	1097
439	860	1095
440	862	1093
441	864	1091
442	865	1088
443	867	1086
444	868	1083
445	870	1081
446	872	1079
447	873	1076
448	875	1074
449	876	1071
450	878	1069
451	880	1067
452	881	1064
453	883	1062
454	885	1060
455	886	1057
456	888	1055
457	889	1053
458	891	1050
459	893	1048
460	894	1046
461	896	1043
462	897	1041
463	899	1038
464	900	1036
465	902	1034
466	904	1031
467	905	1029
468	907	1027
469	908	1024
470	910	1022
471	911	1020
472	913	1017
473	915	1015
474	916	1013
475	918	1011
476	920	1009
477	922	1007
478	923	1004
479	925	1002
480	926	999
481	928	997
482	929	995
483	931	993
484	933	990
485	934	988
486	936	986
487	937	983
488	939	981
489	940	979
490	942	977
491	944	974
492	945	972
493	947	970
494	948	967
495	950	965
496	951	963
497	953	961
498	954	958
499	956	956
500	958	954
501	959	951
502	961	949
503	963	947
504	964	945
505	966	943
506	968	941
507	969	939
508	971	936
509	972	934
510	974	932
511	976	930
512	977	928
513	979	926
514	981	923
515	982	921
516	984	919
517	985	917
518	987	914
519	988	912
520	990	910
521	992	908
522	993	906
523	995	904
524	996	901
525	998	899
526	999	897
527	1001	895
528	1003	893
529	1004	890
530	1006	888
531	1007	886
532	1009	884
533	1010	882
534	1012	879
535	1014	877
536	1015	875
537	1017	873
538	1018	871
539	1020	869
540	1022	867
541	1023	865
542	1025	862
543	1026	860
544	1028	858
545	1030	856
546	1031	854
547	1033	852
548	1034	849
549	1036	847
550	1037	845
551	1039	843
552	1040	841
553	1042	839
554	1044	837
555	1045	835
556	1047	832
557	1048	830
558	1050	828
559	1052	826
560	1053	824
561	1055	822
562	1056	820
563	1058	817
564	1059	815
565	1061	813
566	1062	811
567	1064	809
568	1066	807
569	1067	805
570	1069	803
571	1070	801
572	1072	799
573	1073	797
574	1075	795
575	1077	792
576	1078	790
577	1080	788
578	1082	786
579	1083	784
580	1085	782
581	1086	780
582	1088	778
583	1089	776
584	1091	774
585	1093	772
586	1094	770
587	1096	768
588	1097	766
589	1099	764
590	1101	761
591	1102	760
592	1104	757
593	1105	755
594	1107	753
595	1109	751
596	1110	749
597	1112	747
598	1113	745
599	1115	743
600	1117	741
601	1118	739
602	1120	737
603	1121	735
604	1123	733
605	1124	731
606	1126	729
607	1128	727
608	1129	725
609	1131	723
610	1132	721
611	1134	719
612	1135	717
613	1137	715
614	1138	713
615	1140	711
616	1142	709
617	1144	707
618	1145	705
619	1147	703
620	1148	701
621	1150	699
622	1151	697
623	1153	695
624	1155	693
625	1156	691
626	1158	689
627	1160	687
628	1162	685
629	1164	683
630	1166	681
631	1167	679
632	1169	677
633	1171	676
634	1172	674
635	1174	672
636	1176	670
637	1177	668
638	1179	666
639	1180	664
640	1182	662
641	1183	660
642	1185	657
643	1186	656
644	1188	654
645	1189	652
646	1191	650
647	1192	648
648	1194	645
649	1196	644
650	1197	641
651	1199	640
652	1200	638
653	1202	636
654	1204	634
655	1205	632
656	1207	630
657	1208	628
658	1210	626
659	1211	624
660	1213	622
661	1214	620
662	1216	618
663	1218	616
664	1219	614
665	1221	612
666	1223	610
667	1224	608
668	1226	606
669	1228	604
670	1229	602
671	1231	600
672	1232	599
673	1234	597
674	1235	595
675	1237	593
676	1239	591
677	1240	589
678	1242	587
679	1243	585
680	1245	583
681	1247	581
682	1248	579
683	1250	577
684	1251	575
685	1253	573
686	1255	571
687	1256	569
688	1258	567
689	1259	566
690	1261	564
691	1263	562
692	1264	560
693	1266	558
694	1268	556
695	1269	554
696	1271	552
697	1272	550
698	1274	548
699	1276	546
700	1277	545
701	1279	543
702	1281	541
703	1282	539
704	1284	537
705	1285	535
706	1287	533
707	1288	531
708	1290	529
709	1292	527
710	1293	525
711	1295	524
712	1297	522
713	1298	520
714	1300	518
715	1301	516
716	1303	514
717	1304	512
718	1306	510
719	1308	508
720	1309	506
721	1311	504
722	1313	503
723	1314	501
724	1316	499
725	1317	497
726	1319	495
727	1320	493
728	1322	491
729	1323	489
730	1325	487
731	1327	485
732	1329	484
733	1330	482
734	1332	480
735	1333	478
736	1335	476
737	1336	474
738	1338	472
739	1339	470
740	1341	468
741	1343	467
742	1344	465
743	1346	463
744	1347	461
745	1349	459
746	1350	457
747	1352	455
748	1353	453
749	1355	451
750	1357	449
751	1358	448
752	1360	446
753	1361	444
754	1363	442
755	1364	440
756	1366	438
757	1367	436
758	1369	434
759	1370	432
760	1372	431
761	1374	429
762	1375	427
763	1377	425
764	1378	423
765	1380	421
766	1382	419
767	1383	417
768	1385	416
769	1386	414
770	1388	412
771	1389	410
772	1391	408
773	1392	406
774	1394	404
775	1395	402
776	1397	401
777	1399	399
778	1400	397
779	1402	395
780	1403	393
781	1405	391
782	1406	389
783	1408	388
784	1409	386
785	1411	384
786	1413	382
787	1414	380
788	1416	378
789	1417	376
790	1419	375
791	1421	373
792	1422	371
793	1424	369
794	1425	367
795	1427	365
796	1428	363
797	1430	362
798	1431	360
799	1433	358
800	1434	356
801	1436	354
802	1438	352
803	1439	350
804	1441	349
805	1442	347
806	1444	345
807	1445	343
808	1447	341
809	1448	339
810	1450	338
811	1451	336
812	1453	334
813	1455	332
814	1457	330
815	1458	328
816	1460	327
817	1461	325
818	1463	323
819	1464	321
820	1466	319
821	1467	317
822	1469	316
823	1470	314
824	1472	312
825	1473	310
826	1475	308
827	1477	306
828	1478	305
829	1480	303
830	1481	301
831	1483	299
832	1484	297
833	1486	295
834	1487	294
835	1489	292
836	1491	290
837	1492	288
838	1494	286
839	1495	284
840	1497	283
841	1498	281
842	1500	279
843	1501	277
844	1503	275
845	1505	273
846	1506	272
847	1507	270
848	1509	268
849	1511	266
850	1512	264
851	1514	263
852	1515	261
853	1517	259
854	1518	257
855	1520	255
856	1521	253
857	1523	252
858	1525	250
859	1527	248
860	1529	246
861	1530	245
862	1532	243
863	1533	241
864	1535	239
865	1536	237
866	1538	236
867	1540	234
868	1541	232
869	1543	230
870	1544	228
871	1546	226
872	1547	225
873	1549	223
874	1550	221
875	1552	219
876	1554	217
877	1555	216
878	1557	214
879	1558	212
880	1560	210
881	1561	208
882	1563	207
883	1564	205
884	1566	203
885	1567	201
886	1569	199
887	1570	198
888	1572	196
889	1573	194
890	1575	192
891	1577	190
892	1578	189
893	1580	187
894	1581	185
895	1583	183
896	1584	181
897	1586	180
898	1587	178
899	1589	176
900	1590	174
901	1592	173
902	1594	171
903	1595	169
904	1597	167
905	1598	165
906	1600	164
907	1601	162
908	1603	160
909	1604	158
910	1606	156
911	1607	155
912	1609	153
913	1610	151
914	1612	149
915	1614	148
916	1615	146
917	1617	144
918	1618	142
919	1620	140
920	1621	139
921	1623	137
922	1624	135
923	1626	133
924	1627	131
925	1629	130
926	1630	128
927	1632	126
928	1633	124
929	1635	123
930	1636	121
931	1638	119
932	1639	117
933	1641	115
934	1642	114
935	1644	112
936	1645	110
937	1647	108
938	1648	107
939	1650	105
940	1652	103
941	1654	101
942	1655	100
943	1657	98
944	1659	96
945	1660	94
946	1662	93
947	1663	91
948	1665	89
949	1667	87
950	1668	85
951	1670	84
952	1671	82
953	1673	80
954	1674	78
955	1676	77
956	1678	75
957	1679	73
958	1681	71
959	1682	70
960	1684	68
961	1686	66
962	1687	64
963	1689	63
964	1690	61
965	1692	59
966	1693	57
967	1695	56
968	1696	54
969	1698	52
970	1699	50
971	1701	49
972	1702	47
973	1704	45
974	1706	43
975	1707	41
976	1709	40
977	1710	38
978	1712	36
979	1714	34
980	1715	33
981	1717	31
982	1718	29
983	1720	27
984	1722	26
985	1723	24
986	1725	22
987	1727	20
988	1728	19
989	1730	17
990	1731	15
991	1733	13
992	1735	12
993	1736	10
994	1738	8
995	1739	6
996	1741	5
997	1743	3
998	1744	1
999	1746	0
